name,kategori,harga,toko,alamat,kontak,gambar
Long Pants Fourth Element Thermocline Men 2mm TL2MLG,Pants,3499000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/02/LONG-PANTS-MEN-3-956x838.jpg
Long Pants Fourth Element Thermocline Women 2mm TL2WLG,Pants,3499000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/02/LONG-PANTS-MEN-3-956x838.jpg
Long Boot Mares Classic NG 5mm 412634,Boots,750000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/08/LONG-BOOT-MARES-CLASSIC-BALIDIVEHSOP-956x838.jpg
Long Boot Tusa Sport UA0105,Boots,660000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/12/LONG-BOOT-TUSA-SPORT-BALIDIVESHOP.jpg
Long Sock Repreve Spandex Recycle UPF50 Whale Shark Skin,Socks,315000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/06/LONG-SOCK-REPREVE.jpg
Short Boot Mares Equator 2mm 482263,Boots,450000,Bali Dive Shop,"Jl. Bypass Ngurah Rai No.17A, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224",0878-5225-2294,https://www.balidiveshop.com/wp-content/uploads/2023/08/SHORT-BOOT-MARES-EQUATOR-2MM-BALIDIVESHOP.jpg
BEUCHAT Mask Lynx,Mask,651500,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/11/WhatsApp-Image-2024-06-19-at-17.46.58_4f068cfb-1300x1300.jpg
BEUCHAT Mask Maxlux S,Mask,1989000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/11/WhatsApp-Image-2024-06-20-at-13.49.03_85820b07.jpg
IST Long Fin Blitz,Fins,1275000,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2022/09/WhatsApp-Image-2024-06-21-at-13.44.49_11671754-scaled.jpg
BEUCHAT Fin Open Heel Aquabionic,Fins,1779500,Scuba Gear Indonesia,"Jl.Bypass Ngurah Rai No.664, Pedungan, South Denpasar, Bali (2nd Floor).",0813-5333-3387,https://scubagearindonesia.com/wp-content/uploads/2024/07/WhatsApp-Image-2024-07-15-at-12.48.16_6cd60291-600x600.jpg
